EASOC,EA043,EA001,EA002,EAHG,EA_ord_val
Swazi,Patrilineal,10.5,10.5,21,1
Koro,Patrilineal,2.5,10.5,13,1
Egba,Patrilineal,2.5,10.5,13,1
Ekiti,Patrilineal,2.5,2.5,5,1
Ife,Patrilineal,2.5,2.5,5,1
Adangme,Bilateral,2.5,10.5,13,1
Ewe,Patrilineal,2.5,10.5,13,1
Buem,Patrilineal,2.5,20.5,23,1
Abron,Matrilineal,2.5,10.5,13,1
Anyi,Matrilineal,2.5,10.5,13,1
Yako,Bilateral,10.5,10.5,21,1
Ngumbi,Matrilineal,2.5,10.5,13,1
Assini,Matrilineal,2.5,10.5,13,1
Fante,Bilateral,2.5,10.5,13,1
Ga,Patrilineal,2.5,10.5,13,1
Alagya,Matrilineal,2.5,10.5,13,1
Avikam,Matrilineal,2.5,10.5,13,1
Bakwe,Patrilineal,2.5,10.5,13,1
Krahn,Patrilineal,2.5,10.5,13,1
Kru,Patrilineal,2.5,2.5,5,1
Sapo,Patrilineal,2.5,10.5,13,1
Kisama,Patrilineal,10.5,20.5,31,1
Mende,Patrilineal,10.5,2.5,13,1
Dan,Patrilineal,10.5,10.5,21,1
Gagu,Patrilineal,10.5,30.5,41,2
Guro,Patrilineal,10.5,20.5,31,1
Tura,Patrilineal,10.5,2.5,13,1
Gbande,Patrilineal,2.5,10.5,13,1
Gola,Patrilineal,2.5,10.5,13,1
Ngere,Patrilineal,2.5,2.5,5,1
Temne,Patrilineal,2.5,2.5,5,1
Vai,Patrilineal,10.5,2.5,13,1
Bomvana,Patrilineal,2.5,2.5,5,1
Oyo Yoruba,Bilateral,2.5,2.5,5,1
Bete,Patrilineal,2.5,10.5,13,1
Nupe,Patrilineal,10.5,2.5,13,1
Baule,Matrilineal,2.5,10.5,13,1
Bambara,Patrilineal,20.5,2.5,23,1
Konkomba,Patrilineal,10.5,10.5,21,1
Lobi,Matrilineal,20.5,10.5,31,1
Nankanse,Bilateral,2.5,10.5,13,1
Kasena,Patrilineal,10.5,10.5,21,1
Baga,Patrilineal,10.5,10.5,21,1
Chopi,Patrilineal,2.5,10.5,13,1
Balanta,Patrilineal,2.5,10.5,13,1
Banyun,Patrilineal,2.5,2.5,5,1
Biafada,Patrilineal,10.5,2.5,13,1
Bijogo,Matrilineal,10.5,2.5,13,1
Diola,Patrilineal,10.5,2.5,13,1
Mossi,Patrilineal,10.5,2.5,13,1
Papel,Patrilineal,2.5,2.5,5,1
Bassari,Matrilineal,10.5,10.5,21,1
Serer,Bilateral,10.5,2.5,13,1
Kasonke,Patrilineal,10.5,2.5,13,1
Lozi,Bilateral,10.5,20.5,31,1
Koranko,Patrilineal,2.5,10.5,13,1
